"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Kenneth Walker III",SEA,"vs. ARI","4 out of 5 stars","A+","16.6","","","",""
"2","Austin Ekeler",LAC,"at KC","2 out of 5 stars","A+","16.4","","","",""
"3","Josh Jacobs",LV,"at CHI","4 out of 5 stars","A+","16.1","","","",""
"4","Travis Etienne Jr.",JAC,"at NO","2 out of 5 stars","A","15.9","","","",""
"5","D'Andre Swift",PHI,"vs. MIA","5 out of 5 stars","A","15.7","","","",""
"6","Raheem Mostert",MIA,"at PHI","2 out of 5 stars","A","15.1","","","",""
"7","Bijan Robinson",ATL,"at TB","3 out of 5 stars","A","14.4","","","",""
"8","Isiah Pacheco",KC,"vs. LAC","3 out of 5 stars","A","14.3","","","",""
"9","Saquon Barkley",NYG,"vs. WAS","3 out of 5 stars","A","14.2","","","",""
"10","Alvin Kamara",NO,"vs. JAC","4 out of 5 stars","A","14.0","","","",""
"11","Aaron Jones",GB,"at DEN","4 out of 5 stars","A-","13.6","","","",""
"12","Brian Robinson Jr.",WAS,"at NYG","3 out of 5 stars","B+","13.5","","","",""
"13","Jerome Ford",CLE,"at IND","4 out of 5 stars","B+","13.2","","","",""
"14","James Cook",BUF,"at NE","3 out of 5 stars","B+","11.2","","","",""
"15","Jonathan Taylor",IND,"vs. CLE","2 out of 5 stars","B","11.0","","","",""
"16","Rhamondre Stevenson",NE,"vs. BUF","4 out of 5 stars","B","11.0","","","",""
"17","Jahmyr Gibbs",DET,"at BAL","3 out of 5 stars","B","10.9","","","",""
"18","Alexander Mattison",MIN,"vs. SF","3 out of 5 stars","B","10.9","","","",""
"19","Rachaad White",TB,"vs. ATL","3 out of 5 stars","B","10.9","","","",""
"20","Javonte Williams",DEN,"vs. GB","5 out of 5 stars","B","10.7","","","",""
"21","Najee Harris",PIT,"at LAR","2 out of 5 stars","B-","10.1","","","",""
"22","Zack Moss",IND,"vs. CLE","2 out of 5 stars","B-","9.0","","","",""
"23","Jaylen Warren",PIT,"at LAR","2 out of 5 stars","C+","9.0","","","",""
"24","Kareem Hunt",CLE,"at IND","4 out of 5 stars","C+","8.7","","","",""
"25","Jaleel McLaughlin",DEN,"vs. GB","5 out of 5 stars","C+","8.2","","","",""
"26","D'Onta Foreman",CHI,"vs. LV","5 out of 5 stars","C+","7.7","","","",""
"27","Gus Edwards",BAL,"vs. DET","2 out of 5 stars","C","7.7","","","",""
"28","Zach Evans",LAR,"vs. PIT","3 out of 5 stars","C","7.6","","","",""
"29","AJ Dillon",GB,"at DEN","4 out of 5 stars","C","7.3","","","",""
"30","Tyler Allgeier",ATL,"at TB","3 out of 5 stars","C","7.3","","","",""
"31","Elijah Mitchell",SF,"at MIN","2 out of 5 stars","C","7.2","","","",""
"32","Latavius Murray",BUF,"at NE","3 out of 5 stars","C","6.8","","","",""
"33","Keaontay Ingram",ARI,"at SEA","2 out of 5 stars","C","6.6","","","",""
"34","Justice Hill",BAL,"vs. DET","2 out of 5 stars","C","6.3","","","",""
"35","Ezekiel Elliott",NE,"vs. BUF","4 out of 5 stars","C","6.2","","","",""
"36","Christian McCaffrey",SF,"at MIN","2 out of 5 stars","B","5.9","","","",""
"37","Craig Reynolds",DET,"at BAL","3 out of 5 stars","C-","5.9","","","",""
"38","Jordan Mason",SF,"at MIN","2 out of 5 stars","C-","5.7","","","",""
"39","Antonio Gibson",WAS,"at NYG","3 out of 5 stars","C-","5.7","","","",""
"40","Jeff Wilson Jr.",MIA,"at PHI","2 out of 5 stars","D+","5.5","","","",""
"41","Jerick McKinnon",KC,"vs. LAC","3 out of 5 stars","D","5.1","","","",""
"42","Kenneth Gainwell",PHI,"vs. MIA","5 out of 5 stars","D","5.0","","","",""
"43","Zach Charbonnet",SEA,"vs. ARI","4 out of 5 stars","D","4.9","","","",""
"44","Emari Demercado",ARI,"at SEA","2 out of 5 stars","D","4.8","","","",""
"45","Royce Freeman",LAR,"vs. PIT","3 out of 5 stars","D","4.8","","","",""
"46","Damien Williams",ARI,"at SEA","2 out of 5 stars","D-","4.7","","","",""
"47","Samaje Perine",DEN,"vs. GB","5 out of 5 stars","D-","4.7","","","",""
"48","Joshua Kelley",LAC,"at KC","2 out of 5 stars","F","4.5","","","",""
"49","Jamaal Williams",NO,"vs. JAC","4 out of 5 stars","F","4.4","","","",""
"50","Ke'Shawn Vaughn",TB,"vs. ATL","3 out of 5 stars","F","4.4","","","",""
"51","Cam Akers",MIN,"vs. SF","3 out of 5 stars","F","4.1","","","",""
"52","Clyde Edwards-Helaire",KC,"vs. LAC","3 out of 5 stars","F","3.9","","","",""
"53","Salvon Ahmed",MIA,"at PHI","2 out of 5 stars","F","3.6","","","",""
